"CBO2002";"Job_Zone"
213105;5
213150;5
213175;5
213160;5
213110;5
213155;5
213125;5
213135;5
213415;4
213315;4
213305;5
203215;4
213120;5
213420;4
214205;4
214215;4
214255;4
214210;4
214225;4
214245;4
214265;4
214230;4
214260;4
214240;4
141305;4
203205;4
214250;4
312105;3
318505;3
214305;4
214365;4
214510;4
262410;3
214505;4
214310;4
214325;4
214340;4
214320;4
214330;4
214525;4
214520;4
213405;4
214805;4
214810;4
351105;3
321110;3
321105;3
323105;3
321305;3
773105;2
312305;3
312315;4
312205;3
312210;3
312320;4
910910;2
313105;3
313215;3
313315;3
313120;3
313125;3
313205;3
313210;3
313320;3
213310;4
313130;3
374120;3
374125;3
300305;3
760110;2
351715;4
351725;4
141420;4
313410;3
321205;3
395105;3
519940;2
723220;2
742105;3
223405;5
223208;5
223272;5
223268;5
223212;5
223240;5
223244;5
223236;5
223256;5
223260;5
223248;5
223305;5
223310;5
322205;3
322215;3
322210;3
322220;3
322230;3
251510;5
251540;5
251505;5
251535;5
251525;5
251515;5
251530;5
324115;3
324110;3
324105;3
322405;3
251550;4
142515;4
142510;4
313505;3
251205;5
251225;5
251215;5
251210;5
241005;5
241015;5
241020;5
241035;5
241025;5
241030;5
241215;5
241210;5
241010;5
241040;5
241230;5
242210;5
242215;5
242235;5
242245;5
239410;5
231305;4
231310;4
231335;4
231340;4
231325;4
231320;4
231330;4
239215;4
239225;4
239205;4
239210;4
239430;5
239415;5
239405;5
239420;5
261515;4
261510;4
261125;4
261140;4
261135;4
261120;4
261505;4
261530;4
261105;4
261730;4
261715;4
261610;4
261305;5
262405;3
261805;3
261815;3
261810;3
261820;3
372105;3
372115;3
374210;3
261310;5
251120;5
251105;5
251110;5
251305;5
251115;5
251405;4
261405;4
261420;4
261410;4
514115;2
351720;4
351740;4
351705;4
111105;4
111110;4
111115;4
111120;4
111225;4
111330;4
111340;5
111345;4
111325;5
111305;4
111320;4
142305;4
750105;3
751010;3
123305;4
141605;4
214270;4
141410;4
142210;4
142320;4
241235;5
514110;2
142310;4
142205;4
142605;4
141610;4
141615;4
142405;4
142410;4
251220;5
414210;3
715305;2
760125;2
773205;2
784205;2
841210;2
351710;4
141405;4
141415;4
261110;4
352310;2
412120;2
766405;2
342210;2
351110;3
351505;3
510110;2
