CBO2002;TITULO;trad;Job_Zone;code;prox;title
010105;Oficial general da aeronáutica;General officer of aeronautics;;;;
010110;Oficial general do exército;General officer of the army;;;;
010115;Oficial general da marinha;General Navy Officer;;;;
010215;Oficial da marinha;Officer of the Navy;;;;
010210;Oficial do exército;Army official;;;;
010205;Oficial da aeronáutica;Aeronautical Officer;3;13-2072.00;0.6060606060606061;Loan Officers
010310;Praça do exército;Army Square;;;;
010315;Praça da marinha;Navy Square;;;;
010305;Praça da aeronáutica;Aeronautical Square;;;;
020115;Major da polícia militar;Major of the military police;;;;
020105;Coronel da polícia militar;Colonel of the military police;;;;
020110;Tenente-coronel da polícia militar;Lieutenant Colonel of the Military Police;;;;
020205;Capitão da polícia militar;Captain of the military police;;;;
020305;Primeiro tenente de polícia militar;First military police lieutenant;;;;
020310;Segundo tenente de polícia militar;Second lieutenant of military police;;;;
021105;Subtenente da policia militar;Military police lieutenant;;;;
021110;Sargento da policia militar;Sergeant of the military police;;;;
021205;Cabo da polícia militar;Military Police Cable;;;;
021210;Soldado da polícia militar;Military Police Soldier;;;;
030115;Tenente-coronel bombeiro militar;Lieutenant Colonel Military Firefighter;;;;
030105;Coronel bombeiro militar;Colonel military firefighter;;;;
030110;Major bombeiro militar;Major Military Firefighter;2;33-2011.02;0.6666666666666666;Forest Firefighters
030205;Capitão bombeiro militar;Military firefighter captain;;;;
030305;Tenente do corpo de bombeiros militar;Lieutenant of the military fire department;;;;
031105;Subtenente bombeiro militar;Military lieutenant firefighter;;;;
031110;Sargento bombeiro militar;Sergeant firefighter military;;;;
031210;Soldado bombeiro militar;Military Firefighter;3;33-2011.01;0.7142857142857143;Municipal Firefighters
031205;Cabo bombeiro militar;Military firefighter cape;;;;
111215;Ministro de estado;Minister of State;;;;
111220;Secretário - executivo;Executive Secretary;;;;
111230;Governador de estado;Governor of state;;;;
111235;Governador do distrito federal;Governor of the federal district;;;;
111205;Presidente da república;President;;;;
111245;Vice-governador do distrito federal;Deputy governor of the federal district;;;;
111250;Prefeito;Mayor;;;;
111255;Vice-prefeito;Vice Mayor;;;;
111210;Vice-presidente da república;Vice President of the Republic;;;;
111240;Vice-governador de estado;Deputy Governor of State;;;;
111310;Ministro do superior tribunal de justiça;Minister of the Superior Court of Justice;;;;
111335;Juiz auditor federal - justiça militar;Federal court judge - military court;;;;
111315;Ministro do  superior tribunal militar;Minister of the military superior court;;;;
111405;Dirigente do serviço público federal;Federal Public Service Officer;;;;
111410;Dirigente do serviço público estadual e distrital;State and District Public Service Officer;;;;
111415;Dirigente do serviço público municipal;Director of the municipal public service;;;;
111505;Especialista de políticas públicas e gestão governamental - eppgg;Public Policy and Government Management Specialist - eppgg;4;15-1199.12;0.6067415730337079;Document Management Specialists
111510;Analista de planejamento e orçamento - apo;Planning and budget analyst - apo;;;;
113015;Membro de liderança quilombola;Quilombola leadership member;;;;
113010;Líder de comunidade caiçara;Community leader caiçara;;;;
113005;Cacique;Cacique;;;;
114105;Dirigente de partido político;Political party leader;;;;
114210;Dirigentes de entidades patronais;Employers' leaders;;;;
114205;Dirigentes de entidades de trabalhadores;Managers of workers' organizations;;;;
114305;Dirigente e administrador de organização religiosa;Director and administrator of religious organization;;;;
114405;Dirigente e administrador de organização da sociedade civil sem fins lucrativos;Director and non-profit civil society organization administrator;;;;
121005;Diretor de planejamento estratégico;Strategic planning director;;;;
121010;Diretor geral de empresa e organizações (exceto de interesse público);General director of company and organizations (except of public interest);;;;
122120;Diretor de produção e operações em empresa pesqueira;Director of production and operations in fishing company;;;;
122105;Diretor de produção e operações em empresa agropecuária;Director of production and operations in agricultural enterprise;;;;
122110;Diretor de produção e operações em empresa aqüícola;Director of production and operations in aquaculture;;;;
122115;Diretor de produção e operações em empresa florestal;Director of production and operations in forestry company;2;51-1011.00;0.6086956521739131;First-Line Supervisors of Production and Operating Workers
122205;Diretor de produção e operações da indústria de transformação, extração mineral e utilidades;Director of production and operations of the transformation industry, mineral extraction and utilities;;;;
122305;Diretor de operações de obras pública e civil;Director of public and civil works operations;;;;
122405;Diretor de operações comerciais (comércio atacadista e varejista);Director of commercial operations (wholesale and retail trade);;;;
122515;Diretor de  produção e operações de turismo;Director of production and tourism operations;2;51-1011.00;0.6019417475728155;First-Line Supervisors of Production and Operating Workers
122520;Turismólogo;Turismologist;5;29-1069.04;0.72;Neurologists
122520;Turismólogo;Turismologist;5;29-1181.00;0.72;Audiologists
122510;Diretor de  produção e operações de hotel;Director of production and hotel operations;2;51-1011.00;0.6138613861386139;First-Line Supervisors of Production and Operating Workers
122505;Diretor de  produção e operações de alimentação;Director of production and food operations;2;51-1011.00;0.62;First-Line Supervisors of Production and Operating Workers
122620;Diretor de operações de serviços de transporte;Director of Transport Services Operations;;;;
122605;Diretor de operações de correios;Director of Post Operations;2;53-5022.00;0.6086956521739131;Motorboat Operators
122610;Diretor de operações de serviços de armazenamento;Director of storage services operations;;;;
122615;Diretor de operações de serviços de telecomunicações;Director of telecommunications services operations;;;;
122710;Diretor de produtos bancários;Director of Banking Products;;;;
122755;Diretor de riscos de mercado;Director of market risks;;;;
122750;Diretor de recuperação de créditos em operações de intermediação financeira;Director of recovery of credits in financial intermediation operations;;;;
122745;Diretor de mercado de capitais;Director of capital markets;;;;
122740;Diretor de leasing;Leasing Officer;3;13-2072.00;0.7857142857142857;Loan Officers
122735;Diretor de crédito imobiliário;Director of real estate credit;;;;
122730;Diretor de crédito (exceto crédito imobiliário);Director of credit (except real estate credit);;;;
122725;Diretor de compliance;Compliance Officer;3;13-2072.00;0.7096774193548387;Loan Officers
122720;Diretor de câmbio e comércio exterior;Director of foreign exchange and foreign trade;;;;
122715;Diretor de crédito rural;Director of Rural Credit;;;;
122705;Diretor comercial em operações de intermediação financeira;Commercial director in financial intermediation operations;;;;
123105;Diretor administrativo;Administrative Officer;3;11-3011.00;0.7037037037037037;Administrative Services Managers
123110;Diretor administrativo e financeiro;Administrative and financial director;;;;
123115;Diretor financeiro;CFO;;;;
123210;Diretor de relações de trabalho;Director of labor relations;;;;
123310;Diretor de marketing;Marketing director;4;27-2012.04;0.6470588235294118;Talent Directors
123405;Diretor de suprimentos;Director of Supply;;;;
123410;Diretor de suprimentos no serviço público;Director of public service supplies;;;;
123605;Diretor de serviços de informática;Director of computer services;;;;
123705;Diretor de pesquisa e desenvolvimento (p&d);Director of Research and Development (R & D);;;;
123805;Diretor de manutenção;Maintenance Director;4;27-2041.01;0.6857142857142857;Music Directors
131110;Diretor de serviços sociais;Director of social services;;;;
131120;Gerente de serviços sociais;Social Services Manager;2;11-9051.00;0.7727272727272727;Food Service Managers
131115;Gerente de serviços culturais;Cultural Services Manager;3;11-9061.00;0.8163265306122449;Funeral Service Managers
131105;Diretor de serviços culturais;Director of cultural services;;;;
131210;Gerente de serviços de saúde;Health Services Manager;3;11-9061.00;0.8085106382978723;Funeral Service Managers
131215;Tecnólogo em gestão hospitalar;Technologist in hospital management;;;;
131220;Gerontólogo;Gerontólogo;;;;
131225;Sanitarista;Sanitarian;;;;
131205;Diretor de serviços de saúde;Director of health services;;;;
131310;Diretor de instituição educacional pública;Director of public educational institution;;;;
131320;Gerente de serviços educacionais da área pública;Public Area Educational Services Manager;4;11-2031.00;0.6419753086419753;Public Relations and Fundraising Managers
131305;Diretor de instituição educacional da área privada;Director of private educational institution;;;;
131315;Gerente de instituição educacional da área privada;Manager of private educational institution;;;;
141110;Gerente de produção e operações  florestais;Manager of production and forest operations;;;;
141120;Gerente de produção e operações pesqueiras;Manager of production and fishing operations;;;;
141105;Gerente de produção e operações  aqüícolas;Production and operations manager;4;11-1021.00;0.6875;General and Operations Managers
141115;Gerente de produção e operações agropecuárias;Manager of production and agricultural operations;;;;
141205;Gerente de produção e operações;Production and Operations Manager;4;11-1021.00;0.75;General and Operations Managers
141505;Gerente de hotel;Hotel manager;;;;
141525;Gerente de turismo;Tourism Manager;4;11-9199.07;0.6875;Security Managers
141520;Gerente de pensão;Pension manager;4;11-9021.00;0.6666666666666666;Construction Managers
141520;Gerente de pensão;Pension manager;4;11-9199.08;0.6666666666666666;Loss Prevention Managers
141510;Gerente de restaurante;Restaurant manager;4;11-9199.07;0.6285714285714286;Security Managers
141720;Gerente de crédito e cobrança;Credit and collection manager;;;;
141725;Gerente de crédito imobiliário;Real Estate Credit Manager;4;41-9021.00;0.6666666666666666;Real Estate Brokers
141710;Gerente de agência;Agency Manager;4;19-1031.02;0.7142857142857143;Range Managers
141730;Gerente de crédito rural;Rural Credit Manager;3;11-9061.00;0.6818181818181818;Funeral Service Managers
141705;Gerente de produtos bancários;Banking Product Manager;4;11-3051.03;0.7058823529411765;Biofuels Production Managers
141715;Gerente de câmbio e comércio exterior;Foreign exchange and foreign exchange manager;;;;
141735;Gerente de recuperação de crédito;Credit Recovery Manager;;;;
142105;Gerente administrativo;Administrative manager;3;11-3011.00;0.7777777777777778;Administrative Services Managers
142120;Tecnólogo em gestão administrativo- financeira;Technologist in administrative and financial management;;;;
142115;Gerente financeiro;Financial manager;4;13-2061.00;0.7777777777777778;Financial Examiners
142330;Analista de negócios;Business Analyst;4;13-2031.00;0.7096774193548387;Budget Analysts
142325;Relações públicas;Public relations;4;27-3031.00;0.6818181818181818;Public Relations Specialists
142345;Profissional de relações institucionais e governamentais;Professional of institutional and governmental relations;;;;
142340;Ouvidor;Ombudsman;;;;
142415;Gerente de almoxarifado;Warehouse Manager;4;11-2022.00;0.7096774193548387;Sales Managers
142505;Gerente de rede;Network Manager;4;11-9199.07;0.625;Security Managers
142535;Tecnólogo em gestão da tecnologia da informação;Technologist in information technology management;;;;
142525;Gerente de segurança de tecnologia da informação;Information Technology Security Manager;4;15-1199.09;0.8717948717948718;Information Technology Project Managers
142530;Gerente de suporte técnico de tecnologia da informação;Manager of technical support of information technology;;;;
142610;Especialista em desenvolvimento de cigarros;Cigarette Development Specialist;4;13-1151.00;0.7647058823529411;Training and Development Specialists
142705;Gerente de projetos e serviços de manutenção;Project Manager & Maintenance Services;;;;
142710;Tecnólogo em sistemas biomédicos;Technologist in biomedical systems;;;;
201105;Bioengenheiro;Bioengenheiro;;;;
201110;Biotecnologista;Biotecnologista;5;29-2011.02;0.75;Cytotechnologists
201225;Especialista em materiais de referência metrológica;Specialist in metrology reference materials;;;;
201220;Especialista em instrumentação metrológica;Specialist in metrology instrumentation;;;;
201205;Pesquisador em metrologia;Researcher in metrology;;;;
201210;Especialista em calibrações metrológicas;Specialist in metrological calibrations;;;;
201215;Especialista em ensaios metrológicos;Specialist in metrology testing;;;;
202115;Tecnólogo em mecatrônica;Mechatronics Technologist;4;17-2199.05;0.723404255319149;Mechatronics Engineers
202110;Engenheiro de controle e automação;Control and Automation Engineer;4;17-2051.01;0.6545454545454545;Transportation Engineers
202120;Tecnólogo em automação industrial;Technologist in industrial automation;;;;
203015;Pesquisador em biologia de microorganismos e parasitas;Researcher in biology of microorganisms and parasites;;;;
203010;Pesquisador em biologia animal;Researcher in animal biology;;;;
203025;Pesquisador em biologia vegetal;Researcher in plant biology;;;;
203020;Pesquisador em biologia humana;Researcher in human biology;;;;
203005;Pesquisador em biologia ambiental;Researcher in environmental biology;;;;
203115;Pesquisador em física;Researcher in Physics;;;;
203105;Pesquisador em ciências da computação e informática;Researcher in computer science and computer science;;;;
203125;Pesquisador em química;Researcher in chemistry;;;;
203120;Pesquisador em matemática;Researcher in mathematics;;;;
203110;Pesquisador em ciências da terra e meio ambiente;Researcher in earth science and environment;;;;
203225;Pesquisador de engenharia metalúrgica, de minas e de materiais;Researcher of metallurgical, mining and materials engineering;;;;
203230;Pesquisador de engenharia química;Chemical Engineering Researcher;4;17-2041.00;0.7346938775510204;Chemical Engineers
203220;Pesquisador de engenharia mecânica;Mechanical Engineering Researcher;3;17-3027.00;0.7761194029850746;Mechanical Engineering Technicians
203210;Pesquisador de engenharia e tecnologia (outras áreas da engenharia);Researcher of engineering and technology (other areas of engineering);;;;
203310;Pesquisador de medicina básica;Researcher of basic medicine;;;;
203320;Pesquisador em saúde coletiva;Researcher in public health;;;;
203305;Pesquisador de clínica médica;Medical Clinical Researcher;4;11-9121.01;0.631578947368421;Clinical Research Coordinators
203315;Pesquisador em medicina veterinária;Researcher in veterinary medicine;;;;
203410;Pesquisador em ciências da pesca e aqüicultura;Researcher in fisheries and aquaculture sciences;;;;
203405;Pesquisador em ciências agronômicas;Researcher in agronomic sciences;;;;
203415;Pesquisador em ciências da zootecnia;Researcher in zootechnical sciences;;;;
203420;Pesquisador em ciências florestais;Researcher in forestry;;;;
203525;Pesquisador em psicologia;Researcher in psychology;;;;
203515;Pesquisador em ciências da educação;Researcher in education sciences;;;;
203510;Pesquisador em economia;Researcher in economics;;;;
203505;Pesquisador em ciências sociais e humanas;Researcher in social and human sciences;;;;
204105;Perito criminal;Forensics expert;;;;
211120;Matemático aplicado;Applied Mathematician;5;15-2021.00;0.7428571428571429;Mathematicians
211110;Especialista em pesquisa operacional;Operational Research Specialist;5;15-2031.00;0.7796610169491526;Operations Research Analysts
211215;Estatístico teórico;Theoretical Statistician;5;15-2041.00;0.6486486486486487;Statisticians
212205;Engenheiro de aplicativos em computação;Computer Application Engineer;4;17-2061.00;0.6785714285714286;Computer Hardware Engineers
212210;Engenheiro de equipamentos em computação;Computer Equipment Engineer;4;17-2061.00;0.7037037037037037;Computer Hardware Engineers
212215;Engenheiros de sistemas operacionais em computação;Computer Operational Systems Engineers;4;11-3021.00;0.7341772151898734;Computer and Information Systems Managers
212315;Administrador de sistemas operacionais;Operating Systems Administrator;4;15-1142.00;0.6756756756756757;Network and Computer Systems Administrators
212310;Administrador de redes;Network administrator;3;15-1199.03;0.717948717948718;Web Administrators
212410;Analista de redes e de comunicação de dados;Network and data communications analyst;;;;
212415;Analista de sistemas de automação;Automation Systems Analyst;4;15-1121.00;0.7058823529411765;Computer Systems Analysts
212420;Analista de suporte computacional;Computer Support Analyst;4;15-1121.00;0.7755102040816326;Computer Systems Analysts
213165;Físico (partículas e campos);Physical (particles and fields);;;;
213145;Físico (materiais);Physical (materials);5;29-1123.00;0.6666666666666666;Physical Therapists
213140;Físico (matéria condensada);Physical (condensed matter);;;;
213170;Físico (plasma);Physical (plasma);5;29-1123.00;0.6111111111111112;Physical Therapists
213130;Físico (fluidos);Physical (fluid);;;;
213115;Físico (atômica e molecular);Physical (atomic and molecular);;;;
213215;Tecnólogo em processos químicos;Technologist in chemical processes;;;;
213210;Químico industrial;Industrial chemical;3;49-9041.00;0.6530612244897959;Industrial Machinery Mechanics
213430;Paleontólogo;Paleontologist;5;29-1069.07;0.7692307692307693;Pathologists
213435;Petrógrafo;Petrologist;5;29-1069.04;0.782608695652174;Neurologists
213435;Petrógrafo;Petrologist;5;29-1069.07;0.782608695652174;Pathologists
213440;Oceanógrafo;Oceanographer;5;19-3092.00;0.75;Geographers
213410;Geólogo de engenharia;Engineering Geologist;4;17-3029.02;0.7017543859649122;Electrical Engineering Technologists
213410;Geólogo de engenharia;Engineering Geologist;4;17-3029.05;0.7017543859649122;Industrial Engineering Technologists
213410;Geólogo de engenharia;Engineering Geologist;3;17-3029.07;0.7017543859649122;Mechanical Engineering Technologists
214010;Tecnólogo em meio ambiente;Technologist in environment;;;;
214130;Urbanista;Town planner;;;;
214125;Arquiteto urbanista;Urban architect;4;17-2121.02;0.6875;Marine Architects
214115;Arquiteto de patrimônio;Heritage Architect;4;17-2121.02;0.7428571428571429;Marine Architects
214110;Arquiteto de interiores;Interior Architect;4;17-2121.02;0.6857142857142857;Marine Architects
214105;Arquiteto de edificações;Building Architect;4;17-2121.02;0.6857142857142857;Marine Architects
214280;Tecnólogo em construção civil;Technologist in construction;;;;
214235;Engenheiro civil (hidrologia);Civil engineer (hydrology);4;17-2051.00;0.6341463414634146;Civil Engineers
214220;Engenheiro civil (estruturas metálicas);Civil engineer (metal structures);;;;
214370;Tecnólogo em telecomunicações;Telecommunications Technologist;3;15-1143.01;0.684931506849315;Telecommunications Engineering Specialists
214360;Tecnólogo em eletricidade;Technologist in electricity;;;;
214335;Engenheiro de manutenção de telecomunicações;Telecommunication Maintenance Engineer;3;15-1143.01;0.65;Telecommunications Engineering Specialists
214315;Engenheiro eletricista de manutenção;Mechanical Engineer;4;17-2141.00;0.9743589743589743;Mechanical Engineers
214345;Engenheiro projetista de telecomunicações;Telecommunications Engineer;3;15-1143.01;0.782608695652174;Telecommunications Engineering Specialists
214350;Engenheiro de redes de comunicação;Communication Network Engineer;;;;
214435;Tecnólogo em fabricação mecânica;Technologist in mechanical manufacturing;;;;
214415;Engenheiro mecânico (energia nuclear);Mechanical engineer (nuclear power);4;17-2141.00;0.6545454545454545;Mechanical Engineers
214420;Engenheiro mecânico industrial;Mechanical Engineer;4;17-2141.00;0.9743589743589743;Mechanical Engineers
214425;Engenheiro aeronáutico;Aeronautical engineer;4;17-2011.00;0.7;Aerospace Engineers
214430;Engenheiro naval;Naval engineer;4;17-2051.00;0.6896551724137931;Civil Engineers
214430;Engenheiro naval;Naval engineer;4;41-9031.00;0.6896551724137931;Sales Engineers
214410;Engenheiro mecânico automotivo;Automotive Mechanical Engineer;4;17-2141.00;0.76;Mechanical Engineers
214410;Engenheiro mecânico automotivo;Automotive Mechanical Engineer;4;17-2141.02;0.76;Automotive Engineers
214535;Tecnólogo em produção sulcroalcooleira;Technologist in sulco-alcohol production;;;;
214530;Engenheiro químico (utilidades e meio ambiente);Chemical engineer (utilities and environment);;;;
214515;Engenheiro químico (mineração, metalurgia, siderurgia, cimenteira e cerâmica);Chemical engineer (mining, metallurgy, steel, cement and ceramics);;;;
214610;Engenheiro metalurgista;Metallurgical Engineer;4;17-2071.00;0.7619047619047619;Electrical Engineers
214610;Engenheiro metalurgista;Metallurgical Engineer;4;17-2141.00;0.7619047619047619;Mechanical Engineers
214615;Tecnólogo em metalurgia;Technologist in metallurgy;;;;
214745;Tecnólogo em petróleo e gás;Oil and gas technologist;4;29-2011.00;0.6086956521739131;Medical and Clinical Laboratory Technologists
