Author;Country;Probability
Bosch, Ripaniet al. (2018);Guatemala;0,75
Bosch, Ripaniet al. (2018);El Salvador;0,75
Bosch, Ripaniet al. (2018);Ecuador;0,69
Bosch, Ripaniet al. (2018);Costa Rica;0,68
Bosch, Ripaniet al. (2018);Bolivia;0,67
Bosch, Ripaniet al. (2018);Panamá;0,65
Bosch, Ripaniet al. (2018);Nicaragua;0,65
Bosch, Ripaniet al. (2018);Argentina;0,65
Bosch, Ripaniet al. (2018);Paraguay;0,64
Bosch, Ripaniet al. (2018);Uruguay;0,63
Bosch, Ripaniet al. (2018);Dominican Republic;0,62
Frey e Osborne (2013) ;United States;0,47
Pajarinen, Rouvinen et al. (2014) ;Finland;0,36
DiBa (2015) ;Europe;0,59
Bowles (2014) ;Europe (lowest);0,45
Bowles (2014) ;Europe (highest);0,6
Arntz, Gregory, and Zierahn (2016);Germany;0,12
Arntz, Gregory, and Zierahn (2016);Austria;0,12
Arntz, Gregory, and Zierahn (2016);Spain;0,11
Arntz, Gregory, and Zierahn (2016);Slovak Republic;0,11
Arntz, Gregory, and Zierahn (2016);United Kingdom;0,1
Arntz, Gregory, and Zierahn (2016);Norway;0,1
Arntz, Gregory, and Zierahn (2016);Czech Republic;0,1
Arntz, Gregory, and Zierahn (2016);Netherlands;0,1
Arntz, Gregory, and Zierahn (2016);Italy;0,1
Arntz, Gregory, and Zierahn (2016);Canada;0,1
Arntz, Gregory, and Zierahn (2016);United States;0,09
Arntz, Gregory, and Zierahn (2016);France;0,09
Arntz, Gregory, and Zierahn (2016);Denmark;0,09
Arntz, Gregory, and Zierahn (2016);Ireland;0,08
Arntz, Gregory, and Zierahn (2016);Sweden;0,07
Arntz, Gregory, and Zierahn (2016);Poland;0,07
Arntz, Gregory, and Zierahn (2016);Japan;0,07
Arntz, Gregory, and Zierahn (2016);Belgium;0,07
Arntz, Gregory, and Zierahn (2016);Finland;0,06
Arntz, Gregory, and Zierahn (2016);Estonia ;0,06
Arntz, Gregory, and Zierahn (2016);Korea;0,06
Albuquerque, Portela and Morais (2009);Brazil;0,5437
