uf,codemun,regiao_metro,ano,cbo2002,Job_Zone,empregados,renda
AC,120001,,1995,223505,4,5,6786
AC,120001,,1995,231210,4,27.083333333,675092.47135
AC,120001,,1995,232115,4,1,173.7
AC,120001,,1995,254415,3,2,2232
AC,120001,,1995,321105,3,2.4833333333,3900.8082042
AC,120001,,1995,413110,3,1.4166666667,540.971875
AC,120001,,1995,421310,3,3,4244.4
AC,120001,,1995,512105,2,0.325,3.08953125
AC,120001,,1995,514225,2,33.375,1591101.9382
AC,120001,,1995,521110,2,0.5833333333,17.864583333
AC,120001,,1995,632120,3,0.975,54.218104688
AC,120001,,1995,715135,2,3.325,2845.8656297
AC,120001,,1995,772115,2,3.4416666667,2183.9685219
AC,120001,,1995,782305,2,5.475,9202.4819719
AC,120001,,1995,992115,3,0.325,3.08953125
AC,120001,,1996,223505,4,3,1701
AC,120001,,1996,231210,4,20.375,322430.09625
AC,120001,,1996,254415,3,2,2427.84
AC,120001,,1996,262830,4,1,189
AC,120001,,1996,321105,3,2.1666666667,2828.215
AC,120001,,1996,413110,3,0.9916666667,390.74624313
AC,120001,,1996,421310,3,3,2540.16
AC,120001,,1996,512105,2,1,108
AC,120001,,1996,514225,2,39.333333333,1805518.7316
AC,120001,,1996,517410,2,1,113.4
AC,120001,,1996,521110,2,9.0583333333,37222.510786
AC,120001,,1996,632120,3,0.575,22.257675
AC,120001,,1996,642015,2,0.325,7.414875
AC,120001,,1996,715135,2,3.9083333333,4299.3505538
AC,120001,,1996,772115,2,9.2916666667,25104.219425
AC,120001,,1996,773340,2,0.4083333333,14.706125
AC,120001,,1996,782305,2,5.9666666667,8889.30647
AC,120001,,1996,784115,2,0.5333333333,24.24832
AC,120001,,1996,992115,3,1,108
AC,120001,,1997,223103,,0.9083333333,750.95693988
AC,120001,,1997,223505,4,3,1767.04
AC,120001,,1997,231210,4,33.808333333,1635389.8963
AC,120001,,1997,231305,4,0.575,22.306166667
AC,120001,,1997,254415,3,0.8333333333,179.5308642
AC,120001,,1997,262830,4,1,191.25333333
AC,120001,,1997,411005,3,1,226.45333333
AC,120001,,1997,413110,3,0.9916666667,457.69750617
AC,120001,,1997,421310,3,2.5833333333,2925.2958642
AC,120001,,1997,512105,2,1,119.68
AC,120001,,1997,514225,2,48.433333333,3105221.8582
AC,120001,,1997,521110,2,1.6583333333,493.50590123
AC,120001,,1997,632125,3,0.475,12.574833333
AC,120001,,1997,715135,2,2.6666666667,3179.6464198
AC,120001,,1997,772115,2,11.083333333,203919.53253
AC,120001,,1997,773125,2,0.1583333333,0.9314691358
AC,120001,,1997,773340,2,1.575,412.81086
AC,120001,,1997,782305,2,10.041666667,53036.731574
AC,120001,,1997,848510,2,9.9083333333,20095.651957
AC,120001,,1998,231210,4,30.2,2683039.9632
AC,120001,,1998,231335,4,3.7833333333,6005.4850963
AC,120001,,1998,251605,5,5,4522
AC,120001,,1998,254415,3,1.3,425.55858704
AC,120001,,1998,322230,3,1.825,762.23018437
AC,120001,,1998,413110,3,2.9,2562.50815
AC,120001,,1998,421310,3,1,181.13333333
AC,120001,,1998,422105,3,2,998.13333333
AC,120001,,1998,514225,2,39.141666667,1617746.8394
AC,120001,,1998,514320,2,0.4833333333,16.161476235
AC,120001,,1998,517420,2,0.9916666667,164.28999973
AC,120001,,1998,521110,2,2.2416666667,716.6652662
AC,120001,,1998,521135,2,0.5416666667,31.806491127
AC,120001,,1998,632125,3,3,3625.2
AC,120001,,1998,715135,2,5.65,10069.007558
AC,120001,,1998,771105,3,2.125,666.36114988
AC,120001,,1998,773125,2,0.3333333333,9.3827160494
AC,120001,,1998,773335,2,0.4916666667,18.06574537
