"CBO94";"CBO2002";"cbo";"CIUo88";"titulo"
"05230";"223410";NA;NA;NA
"06105";"223115";NA;NA;NA
"06110";"223110";NA;NA;NA
"06113";"223150";NA;NA;NA
"06115";"223104";NA;NA;NA
"06117";"223106";NA;NA;NA
"06119";"223117";NA;NA;NA
"06122";"223118";NA;NA;NA
"06125";"223125";NA;NA;NA
"06127";"223120";NA;NA;NA
"06128";"223126";NA;NA;NA
"06132";"223132";NA;NA;NA
"06135";"223134";NA;NA;NA
"06137";"223137";NA;NA;NA
"06138";"223139";NA;NA;NA
"06140";"223156";NA;NA;NA
"06142";"223142";NA;NA;NA
"06145";"223132";NA;NA;NA
"06147";"223144";NA;NA;NA
"06148";"223135";NA;NA;NA
"06150";"223146";NA;NA;NA
"06152";"223147";NA;NA;NA
"06155";"223149";NA;NA;NA
"06157";"223151";NA;NA;NA
"06160";"223152";NA;NA;NA
"06162";"223153";NA;NA;NA
"06165";"223124";NA;NA;NA
"06167";"223154";NA;NA;NA
"06170";"223157";NA;NA;NA
"06172";"223103";NA;NA;NA
"06175";"223105";NA;NA;NA
"06177";"223115";NA;NA;NA
"06180";"223112";NA;NA;NA
"06790";"223410";NA;NA;NA
"07690";"223620";NA;NA;NA
"07690";"516135";NA;NA;NA
"13365";"234305";"2343-05";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"13370";"234310";"2343-10";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"13375";"234310";"2343-10";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"13380";"234310";"2343-10";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"13390";"234310";"2343-10";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"13405";"234110";"2341-10";"2359";"Otros profesionales de la enseñanza, no clasificados bajo otros epígrafes"
"13410";"234115";"2341-15";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"13420";"234105";"2341-05";"2359";"Otros profesionales de la enseñanza, no clasificados bajo otros epígrafes"
"13430";"234105";"2341-05";"2359";"Otros profesionales de la enseñanza, no clasificados bajo otros epígrafes"
"13440";"234110";"2341-10";"2359";"Otros profesionales de la enseñanza, no clasificados bajo otros epígrafes"
"13450";"234105";"2341-05";"2359";"Otros profesionales de la enseñanza, no clasificados bajo otros epígrafes"
