CODIGO;TITULO;trad;Job_Zone;code;prox;title
010105;Oficial general da aeronáutica;General officer of aeronautics;3;11-9061.00;0.5185185185185185;Funeral Service Managers
010110;Oficial general do exército;General officer of the army;;;;
010115;Oficial general da marinha;General Navy Officer;3;13-2072.00;0.5454545454545454;Loan Officers
010215;Oficial da marinha;Officer of the Navy;;;;
010210;Oficial do exército;Army official;;;;
010205;Oficial da aeronáutica;Aeronautical Officer;3;13-2072.00;0.6060606060606061;Loan Officers
010310;Praça do exército;Army Square;;;;
010315;Praça da marinha;Navy Square;;;;
010305;Praça da aeronáutica;Aeronautical Square;4;17-1022.01;0.5405405405405406;Geodetic Surveyors
020115;Major da polícia militar;Major of the military police;;;;
020105;Coronel da polícia militar;Colonel of the military police;;;;
020110;Tenente-coronel da polícia militar;Lieutenant Colonel of the Military Police;;;;
020205;Capitão da polícia militar;Captain of the military police;;;;
020305;Primeiro tenente de polícia militar;First military police lieutenant;;;;
020310;Segundo tenente de polícia militar;Second lieutenant of military police;;;;
021105;Subtenente da policia militar;Military police lieutenant;;;;
021110;Sargento da policia militar;Sergeant of the military police;3;33-3052.00;0.5172413793103449;Transit and Railroad Police
021205;Cabo da polícia militar;Military Police Cable;;;;
021210;Soldado da polícia militar;Military Police Soldier;3;33-3051.01;0.5333333333333333;Police Patrol Officers
030115;Tenente-coronel bombeiro militar;Lieutenant Colonel Military Firefighter;;;;
030105;Coronel bombeiro militar;Colonel military firefighter;2;33-2011.02;0.5531914893617021;Forest Firefighters
030110;Major bombeiro militar;Major Military Firefighter;2;33-2011.02;0.6666666666666666;Forest Firefighters
030205;Capitão bombeiro militar;Military firefighter captain;3;33-2011.01;0.56;Municipal Firefighters
030305;Tenente do corpo de bombeiros militar;Lieutenant of the military fire department;;;;
031105;Subtenente bombeiro militar;Military lieutenant firefighter;2;33-2011.02;0.56;Forest Firefighters
031110;Sargento bombeiro militar;Sergeant firefighter military;2;33-2011.02;0.5416666666666666;Forest Firefighters
031210;Soldado bombeiro militar;Military Firefighter;3;33-2011.01;0.7142857142857143;Municipal Firefighters
031205;Cabo bombeiro militar;Military firefighter cape;3;33-2011.01;0.5957446808510638;Municipal Firefighters
111120;Vereador;City councilor;4;13-2071.00;0.6451612903225806;Credit Counselors
111105;Senador;Senator;4;11-1031.00;0.5555555555555556;Legislators
111115;Deputado estadual e distrital;State and District Deputy;4;11-3071.02;0.5862068965517241;Storage and Distribution Managers
111110;Deputado federal;Congressman;3;39-6012.00;0.5714285714285714;Concierges
111215;Ministro de estado;Minister of State;3;47-2152.01;0.5217391304347826;Pipe Fitters and Steamfitters
111220;Secretário - executivo;Executive Secretary;3;43-6013.00;0.5789473684210527;Medical Secretaries
111225;Membro superior do poder executivo;Member of the executive branch;;;;
111230;Governador de estado;Governor of state;;;;
111235;Governador do distrito federal;Governor of the federal district;;;;
111205;Presidente da república;President;;;;
111245;Vice-governador do distrito federal;Deputy governor of the federal district;;;;
111250;Prefeito;Mayor;;;;
111255;Vice-prefeito;Vice Mayor;;;;
111210;Vice-presidente da república;Vice President of the Republic;;;;
111240;Vice-governador de estado;Deputy Governor of State;;;;
111345;Juiz do trabalho;Judge at work;2;53-7031.00;0.5517241379310345;Dredge Operators
111305;Ministro do supremo tribunal federal;Minister of the Federal Supreme Court;;;;
111310;Ministro do superior tribunal de justiça;Minister of the Superior Court of Justice;;;;
111340;Juiz auditor estadual - justiça militar;Judge state auditor - military justice;;;;
111335;Juiz auditor federal - justiça militar;Federal court judge - military court;;;;
111330;Juiz federal;Federal judge;;;;
111325;Juiz de direito;Judge of law;;;;
111320;Ministro do  superior tribunal do trabalho;Minister of Labor Superior Court;;;;
111315;Ministro do  superior tribunal militar;Minister of the military superior court;;;;
111405;Dirigente do serviço público federal;Federal Public Service Officer;3;11-9061.00;0.5925925925925926;Funeral Service Managers
111410;Dirigente do serviço público estadual e distrital;State and District Public Service Officer;2;53-6031.00;0.5176470588235295;Automotive and Watercraft Service Attendants
111415;Dirigente do serviço público municipal;Director of the municipal public service;;;;
111505;Especialista de políticas públicas e gestão governamental - eppgg;Public Policy and Government Management Specialist - eppgg;4;15-1199.12;0.6067415730337079;Document Management Specialists
111510;Analista de planejamento e orçamento - apo;Planning and budget analyst - apo;4;11-3131.00;0.5151515151515151;Training and Development Managers
113015;Membro de liderança quilombola;Quilombola leadership member;;;;
113010;Líder de comunidade caiçara;Community leader caiçara;4;21-1094.00;0.5833333333333334;Community Health Workers
113005;Cacique;Cacique;1;41-2011.00;0.5333333333333333;Cashiers
114105;Dirigente de partido político;Political party leader;4;15-2041.02;0.5909090909090909;Clinical Data Managers
114210;Dirigentes de entidades patronais;Employers' leaders;2;51-4121.07;0.5128205128205128;Solderers and Brazers
114205;Dirigentes de entidades de trabalhadores;Managers of workers' organizations;;;;
114305;Dirigente e administrador de organização religiosa;Director and administrator of religious organization;4;21-2021.00;0.5154639175257731;Directors, Religious Activities and Education
114405;Dirigente e administrador de organização da sociedade civil sem fins lucrativos;Director and non-profit civil society organization administrator;;;;
121005;Diretor de planejamento estratégico;Strategic planning director;4;19-4061.01;0.5423728813559322;City and Regional Planning Aides
121010;Diretor geral de empresa e organizações (exceto de interesse público);General director of company and organizations (except of public interest);;;;
122120;Diretor de produção e operações em empresa pesqueira;Director of production and operations in fishing company;2;51-1011.00;0.5789473684210527;First-Line Supervisors of Production and Operating Workers
122105;Diretor de produção e operações em empresa agropecuária;Director of production and operations in agricultural enterprise;2;51-1011.00;0.5573770491803278;First-Line Supervisors of Production and Operating Workers
122110;Diretor de produção e operações em empresa aqüícola;Director of production and operations in aquaculture;2;51-1011.00;0.5636363636363636;First-Line Supervisors of Production and Operating Workers
122115;Diretor de produção e operações em empresa florestal;Director of production and operations in forestry company;2;51-1011.00;0.6086956521739131;First-Line Supervisors of Production and Operating Workers
122205;Diretor de produção e operações da indústria de transformação, extração mineral e utilidades;Director of production and operations of the transformation industry, mineral extraction and utilities;;;;
122305;Diretor de operações de obras pública e civil;Director of public and civil works operations;4;21-2021.00;0.5111111111111111;Directors, Religious Activities and Education
122405;Diretor de operações comerciais (comércio atacadista e varejista);Director of commercial operations (wholesale and retail trade);2;43-5081.04;0.5436893203883495;Order Fillers, Wholesale and Retail Sales
122515;Diretor de  produção e operações de turismo;Director of production and tourism operations;2;51-1011.00;0.6019417475728155;First-Line Supervisors of Production and Operating Workers
122520;Turismólogo;Turismologist;5;29-1069.04;0.72;Neurologists
122510;Diretor de  produção e operações de hotel;Director of production and hotel operations;2;51-1011.00;0.6138613861386139;First-Line Supervisors of Production and Operating Workers
122505;Diretor de  produção e operações de alimentação;Director of production and food operations;2;51-1011.00;0.62;First-Line Supervisors of Production and Operating Workers
122620;Diretor de operações de serviços de transporte;Director of Transport Services Operations;2;53-1031.00;0.5190839694656488;First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators
122605;Diretor de operações de correios;Director of Post Operations;2;53-5022.00;0.6086956521739131;Motorboat Operators
122610;Diretor de operações de serviços de armazenamento;Director of storage services operations;3;39-1021.00;0.5393258426966292;First-Line Supervisors of Personal Service Workers
122615;Diretor de operações de serviços de telecomunicações;Director of telecommunications services operations;3;15-1143.01;0.5869565217391305;Telecommunications Engineering Specialists
122710;Diretor de produtos bancários;Director of Banking Products;2;41-9011.00;0.5396825396825397;Demonstrators and Product Promoters
122755;Diretor de riscos de mercado;Director of market risks;4;39-9032.00;0.5238095238095238;Recreation Workers
122750;Diretor de recuperação de créditos em operações de intermediação financeira;Director of recovery of credits in financial intermediation operations;;;;
122745;Diretor de mercado de capitais;Director of capital markets;3;51-9071.07;0.5306122448979592;Precious Metal Workers
122740;Diretor de leasing;Leasing Officer;3;13-2072.00;0.7857142857142857;Loan Officers
122735;Diretor de crédito imobiliário;Director of real estate credit;;;;
122730;Diretor de crédito (exceto crédito imobiliário);Director of credit (except real estate credit);;;;
122725;Diretor de compliance;Compliance Officer;3;13-2072.00;0.7096774193548387;Loan Officers
122720;Diretor de câmbio e comércio exterior;Director of foreign exchange and foreign trade;;;;
122715;Diretor de crédito rural;Director of Rural Credit;;;;
122705;Diretor comercial em operações de intermediação financeira;Commercial director in financial intermediation operations;3;29-2071.00;0.5185185185185185;Medical Records and Health Information Technicians
123105;Diretor administrativo;Administrative Officer;3;11-3011.00;0.7037037037037037;Administrative Services Managers
123110;Diretor administrativo e financeiro;Administrative and financial director;3;11-3011.00;0.5507246376811594;Administrative Services Managers
123115;Diretor financeiro;CFO;;;;
123205;Diretor de recursos humanos;Human resources director;4;13-1071.00;0.7058823529411765;Human Resources Specialists
123210;Diretor de relações de trabalho;Director of labor relations;;;;
123310;Diretor de marketing;Marketing director;4;27-2012.04;0.6470588235294118;Talent Directors
123305;Diretor comercial;Commercial director;3;49-9092.00;0.7222222222222222;Commercial Divers
123405;Diretor de suprimentos;Director of Supply;4;27-1011.00;0.5161290322580645;Art Directors
123410;Diretor de suprimentos no serviço público;Director of public service supplies;;;;
123605;Diretor de serviços de informática;Director of computer services;;;;
123705;Diretor de pesquisa e desenvolvimento (p&d);Director of Research and Development (R & D);;;;
123805;Diretor de manutenção;Maintenance Director;4;27-2041.01;0.6857142857142857;Music Directors
131110;Diretor de serviços sociais;Director of social services;3;39-1021.00;0.5454545454545454;First-Line Supervisors of Personal Service Workers
131120;Gerente de serviços sociais;Social Services Manager;2;11-9051.00;0.7727272727272727;Food Service Managers
131115;Gerente de serviços culturais;Cultural Services Manager;3;11-9061.00;0.8163265306122449;Funeral Service Managers
131105;Diretor de serviços culturais;Director of cultural services;4;45-1011.06;0.56;First-Line Supervisors of Aquacultural Workers
131210;Gerente de serviços de saúde;Health Services Manager;3;11-9061.00;0.8085106382978723;Funeral Service Managers
131215;Tecnólogo em gestão hospitalar;Technologist in hospital management;5;29-1071.01;0.5161290322580645;Anesthesiologist Assistants
131220;Gerontólogo;Gerontólogo;5;29-1069.04;0.5217391304347826;Neurologists
131225;Sanitarista;Sanitarian;5;19-3093.00;0.6;Historians
131205;Diretor de serviços de saúde;Director of health services;5;11-9111.00;0.5396825396825397;Medical and Health Services Managers
131310;Diretor de instituição educacional pública;Director of public educational institution;;;;
131320;Gerente de serviços educacionais da área pública;Public Area Educational Services Manager;4;11-2031.00;0.6419753086419753;Public Relations and Fundraising Managers
131305;Diretor de instituição educacional da área privada;Director of private educational institution;4;21-2021.00;0.5227272727272727;Directors, Religious Activities and Education
131315;Gerente de instituição educacional da área privada;Manager of private educational institution;;;;
141110;Gerente de produção e operações  florestais;Manager of production and forest operations;2;51-1011.00;0.5742574257425742;First-Line Supervisors of Production and Operating Workers
141120;Gerente de produção e operações pesqueiras;Manager of production and fishing operations;2;51-1011.00;0.5686274509803921;First-Line Supervisors of Production and Operating Workers
141105;Gerente de produção e operações  aqüícolas;Production and operations manager;4;11-1021.00;0.6875;General and Operations Managers
141115;Gerente de produção e operações agropecuárias;Manager of production and agricultural operations;2;51-1011.00;0.5420560747663551;First-Line Supervisors of Production and Operating Workers
141205;Gerente de produção e operações;Production and Operations Manager;4;11-1021.00;0.75;General and Operations Managers
141305;Gerente de produção e operações da construção civil e obras públicas;Manager of production and operations of construction and public works;3;47-1011.00;0.5255474452554745;First-Line Supervisors of Construction Trades and Extraction Workers
141420;Gerente de operações de serviços de assistência técnica;Operations Manager of Technical Assistance Services;3;49-9021.02;0.5168539325842697;Refrigeration Mechanics and Installers
141405;Comerciante atacadista;Wholesale Dealer;3;15-1134.00;0.5333333333333333;Web Developers
141410;Comerciante varejista;Retail merchant;2;41-2031.00;0.5882352941176471;Retail Salespersons
141415;Gerente de loja e supermercado;Store manager and supermarket;4;43-9081.00;0.5517241379310345;Proofreaders and Copy Markers
141505;Gerente de hotel;Hotel manager;4;11-2022.00;0.5925925925925926;Sales Managers
141525;Gerente de turismo;Tourism Manager;4;11-9199.07;0.6875;Security Managers
141520;Gerente de pensão;Pension manager;4;11-9021.00;0.6666666666666666;Construction Managers
141515;Gerente de bar;Bar manager;3;39-1021.01;0.6956521739130435;Spa Managers
141510;Gerente de restaurante;Restaurant manager;4;11-9199.07;0.6285714285714286;Security Managers
141610;Gerente de operações de correios e telecomunicações;Manager of postal and telecommunications operations;;;;
141605;Gerente de operações de transportes;Transportation Operations Manager;4;11-3071.01;0.7857142857142857;Transportation Managers
