ano,cbo2002,empregados
2011,010105,4937
2012,010105,4976
2013,010105,4049
2014,010105,3917
2015,010105,3681
2016,010105,2694
2011,010110,1461
2012,010110,1565
2013,010110,1532
2014,010110,962
2015,010110,982
2016,010110,939
2011,010115,362
2012,010115,378
2013,010115,532
2014,010115,538
2015,010115,513
2016,010115,523
2011,010205,12684
2012,010205,10497
2013,010205,10236
2014,010205,11204
2015,010205,10918
2016,010205,12061
2011,010210,25453
2012,010210,26394
2013,010210,27209
2014,010210,28566
2015,010210,28168
2016,010210,29307
2011,010215,5980
2012,010215,5223
2013,010215,5873
2014,010215,6466
2015,010215,4886
2016,010215,5973
2011,010305,62958
2012,010305,60664
2013,010305,62177
2014,010305,59884
2015,010305,55907
2016,010305,60394
2011,010310,119416
2012,010310,114399
2013,010310,174538
2014,010310,187967
2015,010310,147726
2016,010310,180060
2011,010315,44661
2012,010315,31625
2013,010315,43831
2014,010315,45077
2015,010315,27739
2016,010315,39492
2011,020105,1676
2012,020105,1519
2013,020105,1903
2014,020105,87790
2015,020105,1542
2016,020105,1200
2011,020110,1240
2012,020110,1743
2013,020110,1802
2014,020110,1782
2015,020110,2099
2016,020110,2317
2011,020115,2987
2012,020115,3828
2013,020115,3801
2014,020115,3584
2015,020115,4204
2016,020115,4351
2011,020205,7382
2012,020205,7669
2013,020205,8135
2014,020205,7260
2015,020205,8456
2016,020205,7866
2011,020305,7644
2012,020305,8028
2013,020305,7345
2014,020305,5394
2015,020305,7653
2016,020305,7492
2011,020310,3962
2012,020310,4687
2013,020310,4283
2014,020310,4070
2015,020310,4058
2016,020310,4540
2011,021105,4508
2012,021105,4530
2013,021105,4773
2014,021105,4493
2015,021105,6366
2016,021105,7124
2011,021110,56562
2012,021110,75019
2013,021110,76740
2014,021110,71672
2015,021110,81280
2016,021110,84192
2011,021205,80498
2012,021205,75351
2013,021205,85798
2014,021205,71132
2015,021205,108255
2016,021205,102234
2011,021210,166662
2012,021210,172686
2013,021210,165991
2014,021210,116765
2015,021210,139568
2016,021210,139600
2011,030105,114
2012,030105,586
2013,030105,583
2014,030105,608
2015,030105,554
2016,030105,545
2011,030110,464
2012,030110,1100
2013,030110,1037
2014,030110,1068
2015,030110,1070
2016,030110,1047
2011,030115,318
2012,030115,352
2013,030115,383
2014,030115,312
2015,030115,344
2016,030115,338
2011,030205,444
2012,030205,1815
2013,030205,1869
2014,030205,1922
2015,030205,1860
2016,030205,1856
2011,030305,870
2012,030305,2012
2013,030305,1951
2014,030305,2121
2015,030305,2199
2016,030305,2230
2011,031105,800
2012,031105,2490
2013,031105,2895
2014,031105,2918
2015,031105,4346
2016,031105,4816
2011,031110,5712
2012,031110,15431
2013,031110,14555
2014,031110,15453
2015,031110,14698
2016,031110,13761
2011,031205,3948
2012,031205,6503
2013,031205,6604
2014,031205,6526
2015,031205,5421
2016,031205,5318
2011,031210,4794
2012,031210,6509
2013,031210,7590
2014,031210,7955
2015,031210,7842
2016,031210,7664
2011,111105,3
2012,111105,50
2012,111110,2
2012,111115,36
2011,111120,31
2012,111120,2159
2012,111205,190
2012,111210,2
2003,111215,47
2004,111215,156
2005,111215,70
2006,111215,125
2007,111215,183
2008,111215,152
2009,111215,223
2010,111215,218
2011,111215,230
2012,111215,198
2013,111215,203
2014,111215,156
2015,111215,157
2016,111215,138
2003,111220,8815
2004,111220,8085
2005,111220,11786
2006,111220,12633
2007,111220,13382
2008,111220,10184
2009,111220,21001
2010,111220,20239
2011,111220,18373
2012,111220,14497
2013,111220,22159
2014,111220,21383
2015,111220,21408
