ano,cbo2002,empregados,renda_sm
1986,111105,91,671.67
1986,111110,15,103.25
1986,111115,2,1.49
1986,111120,96,2044.99
1986,111225,56,495.66
1986,111305,2658,41161.98
1986,111325,77,903.71
1986,111330,298,8704.9
1986,111340,2820,41541.96
1986,111345,297,5949.96
1986,111405,36033,329500.12
1986,111410,268853,1416716.59
1986,111415,157499,1763562.2
1986,114405,1643,18163
1986,121005,75943,1235348.67
1986,121010,32516,506818.32
1986,122205,5845,33744.55
1986,131305,759,10114.51
1986,141105,2707,11358.56
1986,141115,3351,10460.91
1986,141205,3412,35482.66
1986,141305,11289,158872.2
1986,141405,331779,732164.56
1986,141410,253797,794592.43
1986,141415,27182,184826.02
1986,141420,44399,348050.34
1986,141505,70318,147196.06
1986,141510,62800,117401.39
1986,141515,477,1210.42
1986,141520,44,121.35
1986,141605,2400,26516.96
1986,141610,39282,112724.64
1986,141615,147415,453103.96
1986,141705,25,398.06
1986,141710,3,19.34
1986,141720,98208,342435.98
1986,142105,53778,790724.19
1986,142115,13482,270643.3
1986,142205,144,1907.38
1986,142210,4732,62825.61
1986,142305,11756,142009.57
1986,142310,1617,27076.22
1986,142315,14,215.13
1986,142320,62487,605741.87
1986,142405,3522,56596.59
1986,142510,47,308.42
1986,142515,14,82.13
1986,142605,2078,50657.35
1986,203005,1590,11694.75
1986,203010,102,491.18
1986,203015,3703,16759.43
1986,203020,17776,105254.68
1986,203025,132,398.82
1986,203120,45,286.55
1986,203210,5,60.14
1986,203215,35,153.32
1986,203520,219,1975.95
1986,204105,997,14361.89
1986,211105,86,1273.5
1986,211110,174,2693.01
1986,211115,690,6792.85
1986,211205,2038,21662.55
1986,211210,56,680.62
1986,212305,8,50.3
1986,212405,32456,564954.78
1986,212410,1,2.73
1986,212420,135,553.67
1986,213105,799,7714.4
1986,213110,6,49.93
1986,213120,2060,20161.25
1986,213150,22,140.75
1986,213155,38,640.75
1986,213160,15,216.31
1986,213175,13,78.04
1986,213205,30075,338569.76
1986,213210,2023,30608.5
1986,213305,17,87.19
1986,213310,36550,332231.38
1986,213315,253,1555.74
1986,213405,2653,46709.74
1986,213415,823,7970.06
1986,214105,5397,70681.6
1986,214110,6127,33931.19
1986,214115,938,3334.97
1986,214120,47,499.33
1986,214125,82,1117.06
1986,214205,33980,539415.29
1986,214210,24,284.23
1986,214215,1623,21434.17
1986,214225,889,17549.49
1986,214230,96,1528
1986,214240,436,7605.96
1986,214245,326,5186.14
1986,214255,1172,18026.51
1986,214260,352,5135.83
1986,214265,19,240.31
1986,214305,16193,314348.62
1986,214310,4711,86357.42
1986,214325,652,12814.09
1986,214340,4211,92497.62
1986,214355,12952,216471.04
1986,214365,243,3659.7
1986,214405,19005,360306.78
1986,214410,426,7589.65
1986,214415,12,329.45
1986,214425,153,3780.4
1986,214430,313,6961.71
1986,214505,8332,144935.82
1986,214510,113,2069.35
1986,214520,172,3350.38
1986,214525,984,24561.37
1986,214605,1653,26703.43
1986,214610,1529,30931.61
1986,214705,4114,69701.8
1986,214805,412,4658.17
1986,214905,1887,31348.52
1986,214910,1194,21089.82
1986,214915,1417,19885.21
1986,214925,224,4261.02
1986,215105,1666,15467
1986,215115,1947,35312.39
1986,215135,3646,17035.8
1986,215140,615,2080.11
1986,215205,2585,34572.22
1986,215210,351,7571.23
1986,215220,64,891.18
1986,215305,4866,73758.75
1986,215310,41,93.03
1986,215315,44,294.27
1986,221105,1733,13516.39
1986,222105,51041,369958.41
1986,222110,177526,887326.56
1986,222115,5,23.14
1986,222120,853,10583.94
1986,223103,305,2508.45
1986,223104,448,4313.82
1986,223105,30,164.21
1986,223106,703,5470.7
1986,223110,1899,15242.66
1986,223112,71,648.82
1986,223115,51995,417311.38
1986,223117,260,1792.62
1986,223118,4201,49024.74
1986,223120,5,24.95
1986,223124,704,8878.9
1986,223125,100,775.86
1986,223126,71,406.08
1986,223132,1819,14938.36
1986,223134,45,423.93
1986,223135,12,37.43
1986,223137,288,4102.14
1986,223139,86,770.46
1986,223142,250,1788.96
1986,223144,310,2506.82
1986,223146,632,5052.32
1986,223147,234,2016.05
1986,223149,2980,22167.28
1986,223150,2387,28344.91
1986,223151,71,487.69
1986,223152,49,332.79
1986,223153,1127,7190.46
1986,223154,45,635.16
1986,223156,311,3244.69
1986,223157,186,1452.83
1986,223208,27922,215808.69
1986,223212,169,1318.95
1986,223236,80,465.97
1986,223240,11,85.31
1986,223244,15,48.47
1986,223248,10,41.42
1986,223256,158,421.72
1986,223260,16,120.85
1986,223268,70,596.03
1986,223272,1015,5514.35
1986,223305,7332,85144.91
1986,223310,511,5302.84
1986,223405,19215,84198.69
1986,223410,2803,15468.46
1986,223505,130744,490244.62
1986,223520,160,452.06
1986,223525,38,148.51
1986,223530,1725,9420.54
1986,223545,156,839.59
1986,223550,75,318.2
1986,223555,82,387.56
1986,223560,134,663.93
1986,223605,4610,16401.13
1986,223705,3315,18070.96
1986,223710,106825,211758.73
1986,223810,716,3045.04
1986,223905,683,2670.88
1986,223910,229,571.33
1986,224115,99,357.05
1986,224120,256,952.83
1986,224125,12862,49991.27
1986,224130,1085,4561.37
1986,224135,203,982.22
1986,231105,55621,122951.08
1986,231205,475449,1960277.67
1986,231210,281269,719046.25
1986,231305,4595,34963.29
1986,231310,290895,1385328.78
1986,231325,1893,4757.85
1986,231335,3196,6837.28
1986,231340,2939,7581.95
1986,232110,6344,13877.82
1986,232115,1741,5097.97
1986,232130,6140,13952.02
1986,232135,5893,12256.76
1986,232140,11398,24186.1
1986,232145,15671,51751.26
1986,232150,4859,12848.31
1986,232155,7569,17142.61
1986,232160,481,849.73
1986,232165,6074,13737.76
1986,233110,12389,55631.14
1986,233115,169,932.69
1986,233120,5366,10430.62
